ft_cosine_claim_reviewed,ft_cosine_claim_summary,ft_cosine_claim_meta_desc,ft_token_overlap,ft_shared_named_entities,ft_has_negation,ft_has_negation_reviewed,ft_keyword_overlap_kb,ft_keyword_overlap_meta,ft_domain_match,ft_lang_match,ft_has_image,ft_has_video,ft_text_len_summary,ft_text_len_meta,ft_title_match_ratio,ft_contr_nli_claim_reviewed,ft_contr_nli_claim_summary,ft_contr_nli_claim_meta_desc,similarity
0.8254236578941345,0.8090410828590393,0.8044434785842896,0.11111104938275035,0,0,0,0,0,1,1,1,1,90,35,0.5,0.6723732,0.5517429,0.032410514,0
0.8235226273536682,0.7807090282440186,0.8098153471946716,0.04761902494332146,0,0,0,0,0,1,0,1,1,107,36,0.47916666666666663,0.9966355,3.427727e-05,0.9994641,0
0.8928744196891785,0.8203023672103882,0.0,0.35714260204099857,0,0,0,0,0,1,1,1,0,86,1,0.5416666666666667,0.00014517554,0.00033960465,0.14449234,1
0.8414601683616638,0.8118400573730469,0.810856819152832,0.0,0,0,0,0,0,1,0,1,0,104,20,0.375,0.0037668278,0.0006479554,0.0031039554,0
0.9491301774978638,0.9028441905975342,0.915710985660553,0.523809274376536,1,1,0,0,0,1,1,1,0,78,35,1.0,0.99826705,0.0032153134,0.00019887314,1
0.879240095615387,0.8967032432556152,0.9147331118583679,0.2121211478420764,1,1,0,0,0,1,1,1,0,77,25,0.5714285714285714,0.9997093,0.00035981493,0.9127096,1
0.8340359926223755,0.8405400514602661,0.8644923567771912,0.08333329861112558,0,1,0,0,0,1,0,1,1,96,55,0.4864864864864865,0.9996799,0.003788109,0.0009455165,1
0.8407992720603943,0.818932056427002,0.8297481536865234,0.08695648393196351,0,1,0,0,0,1,0,1,0,89,24,0.3875968992248062,0.9999387,0.00022144291,0.0010052028,1
0.8750828504562378,0.8756185173988342,0.8836326599121094,0.20833324652781396,1,1,0,0,0,1,1,1,1,104,51,0.5954198473282443,0.9999565,0.0014317723,0.0002661255,1
0.8393282294273376,0.8140704035758972,0.8436904549598694,0.21052620498620792,0,1,0,0,0,1,1,1,0,98,58,0.5045045045045045,0.9962554,0.0004231719,0.0006847732,0
